name lat lon begin end
0HAE 62.388 15.132000000000005 2018-07-12 2024-08-24
0HAF 59.0856 14.653199999999998 2011-10-26 2024-08-24
0HAG 60.0359 13.7029 2005-11-10 2011-08-23
0HAM 61.6551 15.000599999999991 2005-12-02 2024-08-24
0HAP 65.8281 24.131699999999995 2006-06-28 2024-08-24
0HAS 56.0922 13.718099999999993 1994-01-31 2024-08-24
0HAV 56.7293 12.667399999999986 2017-03-31 2024-08-24
0HDA 63.5828 15.35220000000001 2015-04-09 2024-08-24
0HDG 59.2217 17.9341 2010-07-21 2024-08-24
0HED 62.4195 13.513200000000012 2007-08-23 2024-08-24
0HEM 65.8205 15.080999999999989 2008-02-28 2024-08-24
0HEN 62.0265 15.909999999999997 2015-04-09 2024-08-24
0HFS 59.7844 14.520399999999995 2002-04-21 2024-08-24
0HIL 57.317 13.887400000000014 2002-10-16 2024-08-24
0HIS 57.7324 11.9863 2004-10-19 2014-01-20
0HJO 58.3013 14.28649999999999 2004-07-18 2024-08-24
0HJV 57.6294 15.343400000000003 2013-11-27 2024-08-24
0HLL 58.7417 15.5719 2011-11-17 2024-08-24
0HLM 63.8069 20.8647 2018-03-08 2024-08-24
0HLO 59.0228 17.543800000000005 2015-04-09 2024-08-24
0HLV 56.0137 14.690499999999986 2002-09-09 2023-12-27
0HMS 57.2397 18.382299999999987 2011-06-30 2024-08-24
0HNA 60.5349 17.879999999999995 2015-10-14 2024-08-24
0HOA 57.9677 12.6935 2012-08-08 2024-08-24
0HOB 56.9217 18.151099999999985 2006-04-25 2024-08-24
0HOJ 56.4441 15.655200000000008 2014-01-31 2024-08-24
0HOL 60.9511 12.5445 2005-12-07 2008-12-14
0HOO 55.9326 13.542699999999996 2011-01-19 2024-08-24
0HOR 60.2904 16.4033 2013-06-04 2024-08-24
0HOS 63.6728 20.3887 2006-09-20 2024-08-24
0HOT 63.9739 14.166799999999995 2007-09-11 2024-08-24
0HRN 63.6211 19.90979999999999 2015-04-09 2024-08-24
0HRO 58.749 13.937700000000007 2004-01-28 2024-08-24
